ID,State,StartTime,EndTime,StopTime,duration,workTag,Tags,runAttemptCount,stopReason,Pid/Tid,Temp(℃),totalPSS(MB),CPU(%),msg
dc8a81f0-ffe4-468f-b242-fb504fd36ebc-0,END,2026/07/13 18:42:07.743,2026/07/13 18:42:07.745,,00:00:00.002,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,32.4,71.0,0.0,
823ac8c6-c8e4-4962-af56-79a8a403069f-0,END,2026/07/13 18:42:07.610,2026/07/13 18:42:07.692,,00:00:00.082,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9245,32.4,70.9,16.7,contacts:36:noData:32.4:0.6:-0.3:on;contacts:34:15.3:0.00:0.5:-0.3:0:0:0:1;
0f04012d-c7c5-4401-8928-d47567f1a26c-0,END,2026/07/13 18:42:07.610,2026/07/13 18:42:07.664,,00:00:00.054,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9246,32.4,70.6,18.1,my_contact_profile:7:noData:32.4:0.4:-0.2:on;my_contact_profile:6:0.0:0.00:0.2:-0.2:0:0:0:1;
d8d226c9-9332-4737-841f-96efa36e74d3-0,END,2026/07/13 18:41:57.570,2026/07/13 18:41:57.576,,00:00:00.006,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,32.2,70.2,0.0,
1b8686cf-0a1e-462b-80c2-1f2a10bcdeeb-0,END,2026/07/13 18:41:57.574,2026/07/13 18:41:57.575,,00:00:00.001,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,32.2,70.2,0.0,
96ff8511-d9b1-43d9-b3a3-ba67d31c044e-0,END,2026/07/13 18:41:57.417,2026/07/13 18:41:57.528,,00:00:00.111,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9246,32.2,70.0,16.2,contacts:36:noData:32.2:0.6:0.2:on;contacts:33:12.1:0.00:0.3:0.2:0:0:0:1;
8b732226-7564-4ff1-82b9-01577c707f5e-0,END,2026/07/13 18:41:57.417,2026/07/13 18:41:57.466,,00:00:00.049,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9245,32.2,69.6,18.8,my_contact_profile:11:noData:32.2:0.2:0.0:on;my_contact_profile:10:14.0:0.00:0.0:0.0:0:0:0:1;
c3e7ff75-1e74-4a50-a27f-78a2bbc81444-0,END,2026/07/13 18:41:47.385,2026/07/13 18:41:47.387,,00:00:00.002,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9844,32.3,69.2,0.0,
14e0cbe9-624e-4885-8b06-5fce0614231e-0,END,2026/07/13 18:41:47.383,2026/07/13 18:41:47.386,,00:00:00.003,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9246,32.3,69.2,0.0,
260bcfea-7df1-4e0e-8987-822702fcff3e-0,END,2026/07/13 18:41:37.380,2026/07/13 18:41:37.526,,00:00:00.146,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9561,32.3,68.9,12.7,contacts:107:noData:32.3:0.6:0.0:on;contacts:105:10.3:0.00:0.4:0.0:0:0:0:1;
22b70727-07cd-4942-9c66-c60b18d9f233-0,END,2026/07/13 18:41:37.381,2026/07/13 18:41:37.447,,00:00:00.066,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9245,32.3,67.9,17.9,my_contact_profile:29:noData:32.3:0.3:-0.0:on;my_contact_profile:27:15.2:0.00:0.2:-0.0:0:0:0:1;
41c3bb00-0f73-484a-bd9a-e4298db88b6a-0,END,2026/07/13 18:41:37.301,2026/07/13 18:41:37.304,,00:00:00.003,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9245,32.3,66.1,0.0,
27c32e0e-37ca-44a1-8702-30826b84f6b3-0,END,2026/07/13 18:41:37.299,2026/07/13 18:41:37.305,,00:00:00.006,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9246,32.3,66.2,0.0,
dc68331f-1080-4362-b3f4-f4d98a164373-0,END,2026/07/13 18:41:27.289,2026/07/13 18:41:27.304,,00:00:00.015,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9844,31.8,63.1,11.3,
d9a3d743-e74a-45c3-9ef6-2337e993c7d0-0,END,2026/07/13 18:41:27.289,2026/07/13 18:41:27.301,,00:00:00.012,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,31.8,62.8,10.0,
59c02a9e-a9c6-4b33-9ae5-8756d94b1278-0,END,2026/07/13 18:10:17.000,2026/07/13 18:10:17.054,,00:00:00.054,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9561,36.1,79.0,16.3,my_contact_profile:12:noData:36.1:0.4:0.1:on;my_contact_profile:11:21.8:0.00:0.3:0.1:0:0:0:1;
a58ead32-b18c-49dc-a545-c4ce18372544-0,END,2026/07/13 18:10:17.025,2026/07/13 18:10:17.073,,00:00:00.048,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9844,36.1,79.2,17.9,contacts:22:noData:36.1:0.5:0.0:on;contacts:21:14.8:0.00:0.4:-0.0:0:0:0:1;
5b1bacc2-3381-48ca-9149-695dbf10b493-0,END,2026/07/13 18:10:07.009,2026/07/13 18:10:07.013,,00:00:00.004,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9245,35.5,78.9,0.0,
16ff7f38-ff9d-477b-a901-9755330a082d-0,END,2026/07/13 18:10:06.947,2026/07/13 18:10:06.955,,00:00:00.008,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9561,35.5,79.3,0.0,
51298f52-ed9b-433b-a284-ff93340bd950-0,END,2026/07/13 18:10:06.201,2026/07/13 18:10:06.384,,00:00:00.183,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9844,35.5,79.3,11.6,contacts:72:noData:35.5:0.5:0.0:on;contacts:70:4.9:0.00:0.3:0.1:0:0:0:1;
ea134ce4-744d-4e2c-a6ca-3a048a22dbe3-0,END,2026/07/13 18:10:06.213,2026/07/13 18:10:06.266,,00:00:00.053,REALTIME_DATA_COLLECTOR,my_contact_profile,0,NOT_STOPPED,8838/9246,35.5,78.9,16.6,my_contact_profile:15:noData:35.5:0.1:-0.1:on;my_contact_profile:14:8.6:0.00:0.1:-0.1:0:0:0:1;
835f0684-1314-4ede-8edd-09ab75e20b83-0,END,2026/07/13 18:09:56.173,2026/07/13 18:09:56.176,,00:00:00.003,DATA_OBSERVER,contacts,0,NOT_STOPPED,8838/9561,35.7,79.2,0.0,
cf369c7d-646d-4a66-9e85-5cdbf96c992d-0,END,2026/07/13 18:09:56.173,2026/07/13 18:09:56.177,,00:00:00.004,DATA_OBSERVER,my_contact_profile,0,NOT_STOPPED,8838/9246,35.7,79.2,0.0,
5c2c82dd-fe2e-4e70-8d12-2528b436adb9-0,END,2026/07/13 18:08:44.341,2026/07/13 18:08:44.411,,00:00:00.070,REALTIME_DATA_COLLECTOR,contacts,0,NOT_STOPPED,8838/9561,36.4,80.7,18.9,contacts:36:noData:36.4:0.5:0.0:on;contacts:35:16.9:0.00:0.4:0.0:0:0:0:1;
